,任务号码,任务gps 纬度,任务gps经度,任务标价,任务执行情况,x,y,label,dis,around,xinyu,renwu,ingai,change,α
36,A0037,22.7563792952752,114.04213561073,70.0,0,51.564400802423506,-25.104102927909796,3,15.403572497019605,3,19.9231,1,71.14709294475561,1.147092944755613,210.0
37,A0038,22.6414407060529,114.422742132399,75.0,0,90.45829536745977,-37.86228633158488,3,36.124933569056346,1,0.3693,2,72.31924455266262,-2.6807554473373756,37.5
38,A0039,22.711660071995,114.072883627376,66.5,0,54.70651752777379,-30.067936712012028,3,10.178534419998275,3,19.9231,2,70.15163982243985,3.651639822439847,99.75
39,A0040,22.6064932325456,114.124153601375,66.0,0,59.945757660404546,-41.74145589089537,3,5.7334089979798515,59,967.5534,2,68.66713953783433,2.6671395378343306,1947.0
40,A0041,22.6622997110033,114.072996896515,65.0,0,54.7180924160078,-35.5469367820906,3,4.705244976167205,12,121.13980000000001,4,68.38883008804571,3.388830088045708,195.0
41,A0042,22.635398280659,114.226377185934,66.5,1,70.39190898346439,-38.53299555030783,3,16.071214724703747,20,213.0048,2,70.2948396074257,3.7948396074257005,665.0
42,A0043,22.7380284355305,114.264097001048,67.0,0,74.24646855754479,-27.141048359571517,3,23.770837504688917,2,180.293,1,71.8532086753845,4.853208675384494,134.0
43,A0044,22.6255834838843,114.154966375968,69.0,0,63.094491951717366,-39.62243799229972,3,8.704741479310599,38,575.0169999999999,2,69.33078880130346,0.33078880130345567,1311.0
44,A0045,22.6526549643723,114.027229172221,66.0,0,50.041123047836024,-36.61750365813164,3,5.67817225743359,20,439.0198,2,69.44261012510954,3.442610125109539,660.0
45,A0046,22.7889219689206,113.896632665629,66.0,0,36.69556413392773,-21.491866153270177,3,25.79615650673632,25,828.2003,2,70.99228483355238,4.992284833552375,825.0
46,A0047,22.7010356427446,114.244292079239,67.0,0,72.22261847391998,-31.24724835880629,3,19.95327053232289,2,0.5992,1,71.54016818365048,4.540168183650479,134.0
47,A0048,22.6315405076403,114.12149281776,67.0,0,59.67385418137757,-38.96120835538369,3,5.415692551947688,12,117.98230000000001,2,69.58108678925971,2.5810867892597145,402.0
48,A0049,22.6417147970367,114.195532954479,68.5,0,67.23996013905297,-37.83186223238336,3,13.05260014846718,29,162.838,1,70.43431321217432,1.9343132121743167,1986.5
49,A0050,22.689403355188,114.345418821992,70.0,0,82.55668435669325,-32.53843227758903,3,29.180134877074124,5,19.9231,1,72.23677105992009,2.2367710599200876,350.0
50,A0051,22.6301004227929,114.063832661281,66.5,0,53.78160610096191,-39.12105777344498,3,1.2861444282764516,7,40.211200000000005,2,69.34246384311867,2.842463843118665,232.75
51,A0052,22.6639167291901,114.071717684316,65.5,0,54.58737068224499,-35.36744776335589,3,4.877916113391367,12,121.13980000000001,3,68.9699891212981,3.4699891212980987,262.0
52,A0053,22.7506640039026,114.378843000345,70.0,0,85.97227603674123,-25.738500270268318,3,34.73353495870076,2,2.0,1,72.75214986661346,2.7521498666134647,140.0
53,A0054,22.7227256081329,114.073801635421,67.0,0,54.800328080351065,-28.83966220070486,3,11.409158474997643,2,2.3559,2,70.2725509949498,3.272550994949796,67.0
54,A0055,22.6413803215711,114.229981802978,67.0,0,70.76026209166145,-37.86898900906494,3,16.519775978088298,25,232.5558,2,70.23162163020324,3.231621630203236,837.5
55,A0056,22.7764075422069,114.309587840635,73.0,0,78.89514328548503,-22.88096751849091,3,30.014073492691985,0,0.0,1,72.40515402640075,-0.5948459735992486,0.0
56,A0057,22.5870653356629,113.905761364795,66.0,0,37.6284190448771,-43.89795244487506,3,17.17695465836022,12,79.6925,3,69.97851028198555,3.9785102819855496,264.0
57,A0058,22.6933957055509,114.147487353786,69.0,0,62.33021629264412,-32.09528138730715,3,11.361030496036536,0,0.0,1,70.875604500675,1.8756045006749957,0.0
58,A0059,22.6040496991942,114.058613751507,66.0,0,53.2482896312274,-42.01268809290075,3,2.1185997994260912,18,446.7651,1,69.75772518355295,3.7577251835529495,1188.0
59,A0060,22.6376363999893,114.06791620901,65.5,0,54.19890077611987,-38.284564304644476,3,1.9691876030246804,35,1587.8971999999999,4,67.70447338344802,2.2044733834480184,573.125
60,A0061,22.6578852114526,114.07477225632,65.5,0,54.89951510095875,-36.036946232218106,3,4.233441158974518,3,19.9231,4,68.5301421750359,3.0301421750359054,49.125
61,A0062,22.6178181688603,114.157260801849,67.5,0,63.328957609089045,-40.4843879599636,3,8.920403963104729,27,448.78309999999993,3,69.00147312497458,1.5014731249745807,607.5
62,A0063,22.6414407060529,114.422742132399,75.0,0,90.45829536745977,-37.86228633158488,3,36.124933569056346,1,0.3693,2,72.31924455266262,-2.6807554473373756,37.5
63,A0064,22.7813987573364,114.300806526091,73.0,0,77.99778734812631,-22.326942639116364,3,29.61846453916844,10,39.8463,1,72.1727140922118,-0.8272859077881947,730.0
64,A0065,22.7229412237494,114.27771560183,67.0,0,75.63814314214089,-28.81572886727328,3,24.10643520275462,16,88.7475,1,71.60072768662589,4.600727686625888,1072.0
65,A0066,22.6747071093467,114.22093326141,67.0,0,69.83559842544226,-34.169715565973334,3,16.576109084751643,10,45.6855,1,71.10324094494963,4.103240944949633,670.0
66,A0067,22.6628381443602,114.026397428454,65.0,0,49.95612777703312,-35.487170679474566,3,6.5164204999642585,49,1400.0380999999995,3,68.36434648099707,3.364346480997071,1061.6666666666667
67,A0068,22.6577697242095,114.079493396147,65.5,0,55.38196483369808,-36.049765316202226,3,4.303218178602635,4,20.0161,3,69.08286389064541,3.582863890645413,87.33333333333333
68,A0069,22.6569132739748,114.210092791689,66.0,0,68.72781896723619,-36.14483129225392,3,14.89079147575888,32,338.7083,2,69.95804490101223,3.9580449010122294,1056.0
69,A0070,22.7385903883485,113.818449251052,66.5,0,28.70605972407729,-27.078671596773532,3,28.88019800161465,21,422.34259999999995,2,71.32517623613239,4.825176236132393,698.25
70,A0071,22.7163633127048,114.32225700256,70.0,0,80.18979542643405,-29.545876993224056,3,27.909036511901018,7,19.9231,1,72.09254099397589,2.092540993975888,490.0
71,A0072,22.5233140084978,114.04663858269,66.5,0,52.02455612470573,-50.974349760201186,3,10.994456351847878,22,466.2024,2,69.83854542085152,3.338545420851517,731.5
72,A0073,22.6530142206891,114.212454874348,66.0,0,68.96919841993282,-36.57762620696661,3,15.01152114083802,14,141.9263,2,70.3279447335487,4.327944733548705,462.0
73,A0074,22.5331754025637,114.083134154717,66.5,0,55.754011217289744,-49.87973501888621,3,9.730540030892309,16,140.1978,1,70.42190428253318,3.921904282533177,1064.0
74,A0075,22.5995590515513,114.130362976515,66.5,0,60.58028904192422,-42.51114998126263,3,6.572507428649197,58,1692.4098999999999,3,68.18894560914924,1.6889456091492434,1285.6666666666667
75,A0076,22.6502783683962,113.936624148954,68.5,0,40.782263776175434,-36.88130581147858,3,14.037843096502005,5,23.907700000000002,2,70.42810313391317,1.9281031339131687,171.25
76,A0077,22.7378203776219,114.285890066086,65.5,1,76.47348550439045,-27.16414278742586,3,25.64667280332845,21,80.0719,2,71.06002716987292,5.5600271698729244,687.75
77,A0078,22.7385903883485,113.818449251052,66.5,1,28.70605972407729,-27.078671596773532,3,28.88019800161465,21,422.34259999999995,2,71.32517623613239,4.825176236132393,698.25
78,A0079,22.7430010931667,113.995040147773,71.0,0,46.75175081758099,-26.589083361953104,3,15.655181775104621,0,0.0,1,71.22772490555859,0.22772490555858838,0.0
79,A0080,22.6349541735094,114.044819584999,66.0,0,51.83867411696411,-38.58229144391355,3,3.0621077735736293,7,79.73349999999999,2,69.48809283743303,3.4880928374330296,231.0
80,A0081,22.7513933784059,114.026239909685,70.0,1,49.940031052345724,-25.657539700401905,3,15.254820376629299,10,79.69250000000001,1,70.9948952708836,0.9948952708836032,700.0
81,A0082,22.6155646326245,114.152415879117,67.0,0,62.8338585942639,-40.73453048213723,3,8.436394452005377,20,244.3363,2,69.66878434506442,2.6687843450644237,670.0
82,A0083,22.6844700633893,114.000085031516,66.0,0,47.26728369792304,-33.08602766724475,3,10.112150138412574,16,214.7483,1,70.45319631134984,4.453196311349842,1056.0
83,A0084,22.6651428008973,114.020001901954,65.5,0,49.302573727858835,-35.23135380385658,3,7.156343137079568,32,1065.2640999999999,3,68.75682013724052,3.256820137240524,698.6666666666666
84,A0085,22.6933155162664,113.81707837037,66.0,0,28.565970456890593,-32.10418239788662,3,27.096798208659816,34,1562.6647999999998,1,71.4859374531101,5.485937453110097,2244.0
85,A0086,22.7560020308019,113.851361212011,66.5,0,32.06930829337299,-25.145979284446145,3,26.964510489552833,9,59.7693,1,71.97508986014333,5.475089860143328,598.5
86,A0087,22.7333561925431,113.831291899127,66.0,0,30.01844028438486,-27.65966733117294,3,27.447373004020275,14,265.6919,3,70.78068458632967,4.78068458632967,308.0
87,A0088,22.7778578024144,113.917004348147,70.0,0,38.77733106869589,-22.719988635458588,3,23.48331284385061,6,39.8462,1,71.74963165319575,1.749631653195749,420.0
88,A0089,22.7059717485156,113.8079954237,66.5,0,27.63779095914218,-30.699340618225115,3,28.42386416430721,7,60.79820000000001,2,71.56775686147319,5.067756861473185,232.75
89,A0090,22.7046649683488,113.972689897065,70.0,0,44.46779548563549,-30.844393216739924,3,13.68221173950326,3,21.0,1,71.00594136263926,1.0059413626392626,210.0
90,A0091,22.6520496098925,114.053593678065,65.5,0,52.735292096908765,-36.68469800538928,3,3.9327691077174465,39,1588.3809999999996,1,69.48648706683284,3.9864870668328365,2554.5
91,A0092,22.7213341121282,114.061619587743,67.0,0,53.55545377841561,-28.9941182572266,3,11.28064045904597,0,0.0,3,69.73501251764178,2.7350125176417777,0.0
92,A0093,22.6800886065083,113.834786135085,70.0,0,30.375513632313616,-33.572369381035664,3,24.944574071310758,16,99.61560000000001,3,70.53545507384749,0.535455073847487,373.3333333333333
93,A0094,22.7087497447993,113.816054302089,66.0,0,28.461321688462057,-30.39098303073471,3,27.75745058785667,6,60.43600000000001,2,71.53311094820424,5.533110948204239,198.0
94,A0095,22.607669788426,113.868531174692,65.5,0,33.82389388289954,-41.61085818817072,3,20.63339071264205,1,0.3636,2,71.04893803843665,5.548938038436646,32.75
95,A0096,22.7271036717407,114.061381858376,67.0,1,53.531160392967045,-28.35369714023917,3,11.92108266236137,1,1.9923,4,69.20052877831363,2.2005287783136254,16.75
96,A0097,22.6795558910636,113.832938493127,65.5,0,30.186704488442317,-33.63150079539723,3,25.1109275916809,16,99.61560000000001,3,70.54909606251785,5.049096062517847,349.3333333333333
97,A0098,22.675097731447,113.822362023717,65.5,0,29.105903023719847,-34.12635651283988,3,26.03447977311343,5,104.3371,2,71.41182734139531,5.911827341395309,163.75
98,A0099,22.7333561925431,113.831291899127,66.0,0,30.01844028438486,-27.65966733117294,3,27.447373004020275,14,265.6919,3,70.78068458632967,4.78068458632967,308.0
99,A0100,22.611775078928,114.038058741903,66.0,0,51.147788639243885,-41.15517094244869,3,3.3893289113602076,5,295.2066,1,70.12192497073154,4.121924970731541,330.0
100,A0101,22.7300665719473,114.066647673172,66.5,0,54.06927005166839,-28.024815217306465,3,12.222191344738684,4,21.9154,3,69.73221969026858,3.232219690268579,88.66666666666667
101,A0102,22.6523537636241,113.929912549169,70.0,0,40.09641043541939,-36.650936941181904,3,14.759023668369332,5,22.006700000000002,2,70.48723994080629,0.4872399408062904,175.0
102,A0103,22.7136525650851,114.065237460183,66.0,0,53.92516144557326,-29.846769979010944,3,10.40682088293383,3,19.9231,3,69.60335931240057,3.6033593124005705,66.0
103,A0104,22.5607343074643,113.89007789741,70.0,1,36.02573729309939,-46.82069657491944,3,19.527554754499015,0,0.0,3,70.41125948986893,0.41125948986892524,0.0
104,A0105,22.6734335276973,113.825705157502,65.0,0,29.447535354086163,-34.31108312905674,3,25.659204977251694,5,104.3371,2,71.38105480813464,6.381054808134635,162.5
105,A0106,22.5915549765801,114.125910235104,67.5,0,60.12526674171401,-43.39960230306589,3,6.527816175972079,6,105.3689,2,69.7922809264297,2.2922809264296973,202.5
106,A0107,22.6705219973773,113.923561080063,70.0,0,39.447358578244454,-34.634262994576595,3,15.980762455819901,12,242.7151,1,71.01442252137724,1.0144225213772415,840.0
107,A0108,22.7003870654451,113.844902563379,66.0,0,31.40930384094195,-31.31924043905086,3,24.672576768200337,17,401.45109999999994,1,71.62715129499243,5.62715129499243,1122.0
108,A0109,22.5635036060249,113.906894768535,65.5,1,37.744240721736006,-46.513304434693126,3,17.808301938975987,51,509.96459999999985,2,69.81728075899603,4.317280758996034,1670.25
109,A0110,22.7074327930824,113.930013135693,68.5,0,40.10668929675346,-30.537164671310418,3,17.28656098000891,0,0.0,1,71.36149800036074,2.86149800036074,0.0
110,A0111,22.6335574972806,113.851360434976,70.5,0,32.06922888875019,-38.73732250531042,3,22.393236092113135,0,0.0,1,71.78024535955328,1.2802453595532768,0.0
111,A0112,22.5641925131759,113.896166355239,65.5,0,36.647912225432975,-46.43683574093194,3,18.813044624776722,13,84.30640000000001,4,69.52566965923168,4.025669659231681,212.875
112,A0113,22.6691926689555,114.038411728358,66.5,0,51.18386005994212,-34.78181844939641,3,6.343160429659634,11,182.96059999999997,1,70.24413915523209,3.744139155232091,731.5
113,A0114,22.5962807681237,113.855062769694,66.5,0,32.447567692654296,-42.87503944172599,3,22.12150890778704,15,63.7617,2,70.89096373043853,4.3909637304385285,498.75
114,A0115,22.6851882278014,113.81156753556,67.0,0,28.002822387000883,-33.006311417501365,3,27.382374963577224,5,35.7613,1,72.08935474701335,5.089354747013346,335.0
115,A0116,22.7070081399144,114.096776550712,66.0,0,57.1481174168287,-30.584301172958455,3,10.038042876424312,19,251.12730000000002,1,70.3871195158668,4.3871195158668,1254.0
116,A0117,22.7303490034601,114.068783000165,67.0,0,54.28747751317847,-27.993465319385955,3,12.24937071762288,5,22.279000000000003,4,69.14744839884507,2.1474483988450714,83.75
117,A0118,22.6076110049139,113.869894332642,65.5,0,33.96319396990459,-41.617383158014086,3,20.494836285265364,1,0.3636,2,71.03757657539175,5.537576575391753,32.75
118,A0119,22.5848807593367,113.91327495018,66.0,1,38.39622669170371,-44.14044041708334,3,16.483208709673555,16,99.6156,3,69.84162311419324,3.84162311419324,352.0
119,A0120,22.5609901044042,113.894562979616,65.5,0,36.48406447485877,-46.79230311459054,3,19.086880034531404,1,0.0913,3,70.35512416283159,4.855124162831586,21.833333333333332
120,A0121,22.7356517809663,114.280464023231,65.0,1,75.91900226069296,-27.404857016197532,3,25.04706462244778,118,1911.8373,3,68.50385929904073,3.5038592990407267,2556.6666666666665
121,A0122,22.5819431420697,113.888016568333,66.5,1,35.81509162304388,-44.46651593372009,3,19.07049876033055,2,2.3644,2,70.9007808983471,4.400780898347094,66.5
122,A0123,22.5829728906449,113.907183429129,65.5,1,37.773738731016664,-44.35221384187298,3,17.138221881447745,12,79.6925,3,69.97533419427872,4.475334194278716,262.0
123,A0124,22.5413895409741,113.919110416432,66.0,1,38.99254860481282,-48.96796565533159,3,17.717040023786215,55,861.9637,3,69.16279728195047,3.162797281950475,1210.0
124,A0125,22.7704017692631,113.855116111075,66.0,0,32.453018608312945,-23.54760831525287,3,27.584406193795765,3,19.9231,2,71.57892130789125,5.57892130789125,99.0
125,A0126,23.1676903546272,113.665172812936,75.0,1,13.042855643269595,20.55142466016242,2,16.61425255143192,17,19.9231,1,70.96636870921742,-4.03363129078258,1275.0
126,A0127,23.1654980452292,113.387590060323,65.5,1,-15.323117346000059,20.308078316984265,0,0.0,24,161.37720000000002,1,69.464,3.9639999999999986,1572.0
127,A0128,23.1593359975333,113.338711283964,65.5,0,-20.31800278789593,19.624091022739524,0,0.0,1,0.3721,4,68.223,2.722999999999999,16.375
128,A0129,23.1687891455769,113.419959772635,66.5,1,-12.015280758643826,20.67339045557885,0,0.0,0,0.0,2,69.377,2.8769999999999953,0.0
129,A0130,23.1284929476215,113.350618568732,65.0,0,-19.101206301352207,16.20051248252953,0,0.0,7,79.6925,3,68.67,3.6700000000000017,151.66666666666666
130,A0131,23.1307022473192,113.416260868546,65.5,0,-12.393268989146499,16.445744748974242,0,0.0,44,2816.0076999999997,5,66.796,1.2960000000000065,576.4
131,A0132,23.1382207893585,113.389486698559,65.0,0,-15.129301309282775,17.28030291533652,0,0.0,60,2272.9165999999996,3,67.61,2.6099999999999994,1300.0
132,A0133,23.1861168487634,113.597485671544,75.0,1,6.125957506146578,22.596765509280647,2,22.493495498485892,0,0.0,1,71.78846663087585,-3.2115333691241545,0.0
133,A0134,23.1240189591638,113.411547026554,65.0,0,-12.874972961609028,15.70389976372477,0,0.0,88,5112.5167,5,65.916,0.9159999999999968,1144.0
134,A0135,23.1381658955335,113.372836112767,65.5,1,-16.830812164640832,17.27420970076169,0,0.0,142,17435.428900000003,3,65.97,0.46999999999999886,3100.3333333333335
135,A0136,23.1996730122491,113.406846999602,68.5,0,-13.355265185511644,24.101499656193248,0,0.0,1,2.0,1,69.924,1.4240000000000066,68.5
136,A0137,23.1224808721127,113.361124926295,65.5,0,-18.027569513611148,15.533172101052802,0,0.0,31,367.69809999999995,1,69.324,3.823999999999998,2030.5
137,A0138,23.2001391478776,113.374908952731,65.5,0,-16.618990205688302,24.15324071095673,0,0.0,18,159.385,1,69.584,4.084000000000003,1179.0
138,A0139,23.1012502166771,113.548436650122,68.0,0,1.1136748491382615,13.176569347701388,2,21.690660572620335,0,0.0,1,71.72263416695488,3.722634166954876,0.0
139,A0140,23.1248664643703,113.561445341886,69.0,0,2.4430232893052772,15.79797284164637,2,21.447739866933038,2,19.9231,1,71.6627146690885,2.6627146690885013,138.0
140,A0141,23.1087118142391,113.492884574249,66.5,0,-4.563150057588486,14.004806677083295,2,27.359040400776685,4,39.8463,4,70.40644131286369,3.9064413128636915,66.5
141,A0142,23.1243156395216,113.408115078202,65.0,0,-13.225681185866707,15.73683128344086,0,0.0,107,5360.3275,4,66.103,1.1029999999999944,1738.75
142,A0143,23.1675143840217,113.337954403182,66.0,0,-20.395347866494618,20.53189192295187,0,0.0,4,19.9231,4,68.163,2.1629999999999967,66.0
143,A0144,23.1354420411307,113.390007969091,65.0,0,-15.076033065158239,16.971861862050634,0,0.0,61,2771.1383999999994,3,67.59,2.5900000000000034,1321.6666666666667
144,A0145,23.1368057684525,113.331549452559,65.0,0,-21.04986495971884,17.123235594770694,0,0.0,30,181.0043,5,67.07600000000001,2.0760000000000076,390.0
145,A0146,23.1159303246968,113.42048908658,66.0,0,-11.961190564186037,14.8060613378881,0,0.0,7,69.6982,1,69.804,3.804000000000002,462.0
146,A0147,23.1618940670467,113.343334634253,66.0,0,-19.845546094592667,19.908036738726725,0,0.0,0,0.0,4,68.243,2.242999999999995,0.0
147,A0148,23.1097973945641,113.453448444076,66.0,0,-8.593098578375267,14.125306093158326,0,0.0,20,195.40600000000003,2,68.97699999999999,2.9769999999999897,660.0
148,A0149,23.1097580892894,113.453481189203,66.0,0,-8.589752378442824,14.120943207666542,0,0.0,20,195.40600000000003,2,68.97699999999999,2.9769999999999897,660.0
149,A0150,23.1909047341958,113.449201701942,73.0,1,-9.027069967200722,23.128220792277016,0,0.0,0,0.0,1,69.944,-3.0559999999999974,0.0
150,A0151,23.1087118142391,113.492884574249,66.5,1,-4.563150057588486,14.004806677083295,2,27.359040400776685,4,39.8463,4,70.40644131286369,3.9064413128636915,66.5
151,A0152,23.0998282189715,113.484963504791,65.5,0,-5.372598195763017,13.018727602379538,0,0.0,91,15018.0322,2,67.557,2.057000000000002,2980.25
152,A0153,23.0797894313979,113.429744979892,70.5,1,-11.015337778995715,10.794422181709876,0,0.0,0,0.0,1,69.944,-0.5559999999999974,0.0
153,A0154,23.1181011943149,113.544217136668,67.0,1,0.6824859386694624,15.047027865496975,2,22.74567792811929,2,4.8332,1,71.76914559010578,4.769145590105779,134.0
154,A0155,23.1087118142391,113.492884574249,66.5,1,-4.563150057588486,14.004806677083295,2,27.359040400776685,4,39.8463,4,70.40644131286369,3.9064413128636915,66.5
155,A0156,23.1011247274453,113.487241158411,65.5,0,-5.139846483145401,13.16264004297133,0,0.0,91,15018.0322,2,67.557,2.057000000000002,2980.25
156,A0157,23.1487229407005,113.515291376765,73.5,0,-2.273415738861033,18.446041714298822,2,26.849735669731587,2,19.9231,1,72.10567832491799,-1.3943216750820113,147.0
157,A0158,23.0479763966089,113.289293329367,69.0,0,-25.36798644894103,7.263175320130902,0,0.0,11,181.3005,2,69.157,0.15699999999999648,379.5
158,A0159,23.1111406826233,113.278240859545,66.0,0,-26.49743003822915,14.274411067729517,0,0.0,32,259.21819999999997,1,69.304,3.304000000000002,2112.0
159,A0160,22.9345907957979,113.416799529649,70.0,0,-12.338223615635187,-5.322626369890113,0,0.0,0,0.0,3,68.81,-1.1899999999999977,0.0
160,A0161,23.3969086250469,113.347511423398,75.0,0,-19.418723149168866,45.994652676749155,0,0.0,0,0.0,1,69.944,-5.055999999999997,0.0
161,A0162,23.0913807065672,113.531677147482,70.0,0,-0.5989661371070452,12.081053725502365,2,23.02768630099155,4,20.658800000000003,1,71.75227027668132,1.7522702766813154,280.0
162,A0163,23.2156529919026,113.300569151175,66.0,0,-24.215718687970153,25.875277397731878,0,0.0,71,5268.332799999999,1,68.524,2.524000000000001,4686.0
163,A0164,22.9609932512206,113.442775215343,66.5,0,-9.683787805636454,-2.3919538179702613,0,0.0,0,0.0,4,68.243,1.742999999999995,0.0
164,A0165,23.2128091257282,113.256333074606,65.5,0,-28.736170125587833,25.559608252373266,0,0.0,6,41.8386,5,67.556,2.0559999999999974,78.6
165,A0166,23.2945140830139,113.331306286413,69.0,0,-21.07471392553028,34.62885851108614,0,0.0,0,0.0,4,68.243,-0.757000000000005,0.0
